Intent Labels,Questions,Contexts,Answers
Bison_ID,What is My Bison ID?,"Announcements
Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register!
Here is a quick reference calendar with important dates for the semester.
Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today!
Are you having trouble with a class? Tutoring is available through the Academic Skills Center!
Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page.

To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below.

What’s my username, password, and email address? 
Username
Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name.

EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567.

Password
For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate.

EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902.

(Your password can be changed after you log in for the first time.)

Email Address
Your student email address is your username followed by @student.waynecc.edu.

EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu

Do you need help? 
I need to reset my password.
Click on the Okta Portal button below.
On the Okta login page, click the link at the bottom labeled “Need help signing in?“
Click “Forgot Password?” then follow the directions to reset your password.
I need to unlock my account.
Click on the Okta Portal button below.
On the Okta login page, click the link at the bottom labeled “Need help signing in?“
Click “Unlock Account?” then follow the directions.
24/7 Help Desk Support
WCC offers a 24-hour help desk to assist you if you’re having trouble with:

Signing in to our services
Resetting your password
Installing the student version of Microsoft Office 365
Email, Bison Wifi, and other technical issues
Call 877-220-5016 to get the help you need.

We also offer an online knowledge base.",My Bison ID is a hub for quick access to student resources and services. It provides easy access to various online services and tools for students.
Bison_ID,How can I register for summer and fall courses,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.",Priority registration for summer and fall courses is now open for current students. You can view the course schedules and contact your advisor to register.
Bison_ID,What is an Acheivement Coach?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","All registered curriculum students have an Achievement Coach, who is available to help you with any academic or personal issues. You can meet your Achievement Coach today."
Bison_ID,How can I get tutoring help for a class?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.",Tutoring is available through the Academic Skills Center if you're having trouble with a class. You can contact them to schedule a tutoring session.
Bison_ID,What are the important dates in the semester?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","You can find a quick reference calendar with all the important dates for the semester on My Bison ID.
"
Bison_ID,How can I log into the Okta portal to access online services?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","To access online services like Student Email (Gmail), Moodle, Self-Service, Bison Alerts, and Microsoft Office 365, you need to log into the Okta portal. You can find your username and password using the instructions provided on My Bison ID."
Bison_ID,What is my username format?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","Your username is your first initial, middle initial (if you have one), and full last name, followed by the last four digits of your student ID number. If you don't have a middle name or didn't provide it when you applied to WCC, use just your first initial and full last name."
Bison_ID,What is my default password?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","For new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, and your six-digit birthdate.
"
Bison_ID,How can I reset my password?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","If you need to reset your password, you can click on the Okta Portal button on My Bison ID and follow the instructions provided. You can also contact the 24/7 Help Desk Support for assistance."
Bison_ID,What kind of technical issues can the Help Desk Support assist with?,"Announcements Priority registration for summer and fall ’23 is now open for current students! View the course schedules and contact your advisor to register! Here is a quick reference calendar with important dates for the semester. Don’t forget that all registered curriculum students have an Achievement Coach. Meet yours today! Are you having trouble with a class? Tutoring is available through the Academic Skills Center! Welcome to My Bison ID, your hub for quick access to student resources and services. We recommend students bookmark this page. To access Student Email (Gmail), Moodle, Self-Service, Bison Alerts, Microsoft Office 365, and other online services, you must log into the Okta portal. Find out your username and password using the instructions below. What’s my username, password, and email address? Username Your first initial, middle initial, and full last name, followed by the last four digits of your student ID number. If you don’t have a middle name, or you didn’t give your middle name when you applied to WCC, use just your first initial and full last name. EXAMPLE: James William Smith’s student ID number is 234567. His username would be jwsmith4567. Password For brand new students, your default password is the first letter of your last name capitalized, the second letter of your last name in lowercase, then your six-digit birthdate. EXAMPLE: If your last name is Smith and your birth date is May 9, 2002, then your password would be Sm050902. (Your password can be changed after you log in for the first time.) Email Address Your student email address is your username followed by @student.waynecc.edu. EXAMPLE: James William Smith’s email address would be jwsmith4567@student.waynecc.edu Do you need help? I need to reset my password. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Forgot Password?” then follow the directions to reset your password. I need to unlock my account. Click on the Okta Portal button below. On the Okta login page, click the link at the bottom labeled “Need help signing in?“ Click “Unlock Account?” then follow the directions. 24/7 Help Desk Support WCC offers a 24-hour help desk to assist you if you’re having trouble with: Signing in to our services Resetting your password Installing the student version of Microsoft Office 365 Email, Bison Wifi, and other technical issues Call 877-220-5016 to get the help you need. We also offer an online knowledge base.","The Help Desk Support is available 24/7 to help you with signing in to online services, resetting your password, installing the student version of Microsoft Office 365, and resolving email, Bison Wifi, and other technical issues. You can call them at 877-220-5016 or use the online knowledge base provided on My Bison ID.



"
